"method","alpha","b","alpha_gap_vs_reference","b_gap_vs_reference","alpha_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct","optimization_time","converged","fncount","grcount","replicate"
"chebyshev",1.04355124256331,0.336434075148842,-0.00195269733229009,0.00315591036804985,-0.15644875743669,0.0364340751488425,0.402212652603339,0.00123646535550731,0.350000000000023,TRUE,13,13,38
"reference",1.06067392877971,0.395237605368552,0,0,-0.139326071220292,0.0952376053685519,0,0,9.23000000000002,TRUE,12,12,39
"spline",1.06321727879733,0.394318922805146,0.00254335001761752,-0.00091868256340577,-0.136782721202674,0.0943189228051461,0.054280759410176,0.000153440766264293,0.419999999999959,TRUE,25,25,39
"chebyshev",1.0630677072848,0.394418408070783,0.00239377850509181,-0.000819197297768637,-0.1369322927152,0.0944184080707833,0.052377240077476,0.000148059900775635,0.789999999999964,TRUE,33,33,39
"reference",1.1230217368037,0.296301759034701,0,0,-0.076978263196303,-0.00369824096529914,0,0,8.82999999999993,TRUE,11,11,40
"spline",1.11442038272888,0.300982547468444,-0.00860135407481222,0.00468078843374292,-0.0855796172711152,0.000982547468443784,0.367051694411202,0.00111599431539988,0.209999999999923,TRUE,11,11,40
"chebyshev",1.1145756300378,0.300882131199392,-0.00844610676589497,0.0045803721646907,-0.0854243699621979,0.000882131199391567,0.349871403974248,0.00106375887620564,0.279999999999973,TRUE,11,11,40
"reference",1.05369746182954,0.369308114358927,0,0,-0.146302538170455,0.0693081143589273,0,0,10.2700000000001,TRUE,13,13,41
"spline",1.05999508103973,0.366752124060514,0.00629761921018424,-0.0025559902984133,-0.140004918960271,0.066752124060514,0.212991217769741,0.000619464322676881,0.240000000000009,TRUE,12,12,41
"chebyshev",1.05993611829251,0.366715410282564,0.00623865646296129,-0.00259270407636286,-0.140063881707494,0.0667154102825644,0.199123660459009,0.000579131875702647,0.309999999999945,TRUE,12,12,41
"reference",1.0809729032027,0.361651398541789,0,0,-0.119027096797305,0.061651398541789,0,0,9.38,TRUE,12,12,42
