"replicate","method","delta","b","converged","delta_gap_vs_reference","b_gap_vs_reference","delta_error_vs_truth","b_error_vs_truth","criterion_gap_exact","criterion_gap_exact_pct"
36,"reference",7.06643246038373,0.411189672182226,TRUE,0,0,1.06643246038373,0.0611896721822262,0,0
36,"spline",7.19765691812976,0.415463594520317,TRUE,0.13122445774603,0.00427392233809049,1.19765691812976,0.0654635945203167,0.0516719138124699,0.0290047885195182
36,"chebyshev",7.15656870438967,0.417245399197814,TRUE,0.0901362440059383,0.00605572701558815,1.15656870438967,0.0672453991978144,0.0269426516665874,0.0151236107990996
37,"reference",5.8727250348919,0.370184798639794,TRUE,0,0,-0.127274965108096,0.0201847986397941,0,0
37,"spline",5.93018531960557,0.38514637185102,TRUE,0.0574602847136676,0.0149615732112263,-0.0698146803944288,0.0351463718510204,0.0443338129974507,0.0321109011123238
37,"chebyshev",5.92908415856025,0.385223319116415,TRUE,0.0563591236683472,0.0150385204766215,-0.0709158414397493,0.0352233191164155,0.0440349360864332,0.0318944251025795
38,"reference",6.54930366841554,0.481900078113815,TRUE,0,0,0.549303668415536,0.131900078113815,0,0
38,"spline",6.30748135316213,0.477820373869412,TRUE,-0.241822315253405,-0.00407970424440229,0.307481353162132,0.127820373869412,0.168603452947849,0.101022321014302
38,"chebyshev",6.30904218347327,0.475402598048478,TRUE,-0.240261484942263,-0.00649748006533646,0.309042183473274,0.125402598048478,0.172835937985923,0.103558303846971
39,"reference",5.85761241782096,0.592454646607433,TRUE,0,0,-0.142387582179035,0.242454646607433,0,0
39,"spline",6.0482423369277,0.619272297778889,TRUE,0.190629919106732,0.0268176511714565,0.0482423369276965,0.26927229777889,0.274304454579152,0.181566672100104
39,"chebyshev",6.04842432142649,0.617319781349864,TRUE,0.190811903605525,0.0248651347424307,0.0484243214264897,0.267319781349864,0.264792263548856,0.175270394949223
40,"reference",5.79031325471903,0.329478392277176,TRUE,0,0,-0.209686745280974,-0.0205216077228238,0,0
40,"spline",5.88799197678879,0.399046324568797,TRUE,0.0976787220697668,0.0695679322916209,-0.112008023211208,0.0490463245687971,0.655707424857752,0.488376967876143
